단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
repair,만들고 고치기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
stick,만들고 고치기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
villa,집의 구조,레벨2,B2,3,우리 집,ch3,O,장면에 넣을 수 있음
comedy,글과 기록,레벨2,B1,4,학교생활,ch4,O,장면에 넣을 수 있음
dictionary,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
drama,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
edit,글과 기록,레벨2,B2,4,학교생활,ch4,O,장면에 넣을 수 있음
envelope,글과 기록,레벨1,A2,4,학교생활,ch4,O,장면에 넣을 수 있음
essay,글과 기록,레벨1,A2,4,학교생활,ch4,O,장면에 넣을 수 있음
graph,글과 기록,레벨2,B1,4,학교생활,ch4,O,장면에 넣을 수 있음
language,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
list,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
magazine,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
photo,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
photograph,글과 기록,레벨1,A2,4,학교생활,ch4,O,장면에 넣을 수 있음
poem,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
scene,글과 기록,레벨1,A2,4,학교생활,ch4,O,장면에 넣을 수 있음
spell,글과 기록,레벨1,A1,4,학교생활,ch4,O,장면에 넣을 수 있음
text,글과 기록,레벨1,A2,4,학교생활,ch4,O,장면에 넣을 수 있음
educate,배움과 가르침,레벨2,B1,4,학교생활,ch11,X,장면에 넣을 수 있음
experience,배움과 가르침,레벨1,A2,4,학교생활,ch11,X,장면에 넣을 수 있음
experiment,배움과 가르침,레벨2,B1,4,학교생활,ch11,X,장면에 넣을 수 있음
knowledge,배움과 가르침,레벨1,A2,4,학교생활,ch11,X,장면에 넣을 수 있음
subject,배움과 가르침,레벨1,A1,4,학교생활,ch11,X,장면에 넣을 수 있음
emphasize,알리고 밝히기,레벨2,미수록|로부장수기,4,학교생활,ch9,X,장면에 넣을 수 있음
explain,알리고 밝히기,레벨1,A2,4,학교생활,ch9,X,장면에 넣을 수 있음
inform,알리고 밝히기,레벨2,B1,4,학교생활,ch9,X,장면에 넣을 수 있음
