단어,갈래,레벨,CEFR근거
block,만들고 고치기,레벨1,A1
burst,만들고 고치기,레벨2,B1
combine,만들고 고치기,레벨2,B1
connect,만들고 고치기,레벨2,B1
crack,만들고 고치기,레벨2,B2
crash,만들고 고치기,레벨2,B1
create,만들고 고치기,레벨1,A2
damage,만들고 고치기,레벨2,B1
decorate,만들고 고치기,레벨2,B2
destroy,만들고 고치기,레벨1,A2
develop,만들고 고치기,레벨1,A2
direct,만들고 고치기,레벨1,A2
divide,만들고 고치기,레벨1,A2
establish,만들고 고치기,레벨1,A2
fold,만들고 고치기,레벨2,B1
found,만들고 고치기,레벨2,B2
invent,만들고 고치기,레벨1,A2
link,만들고 고치기,레벨2,B1
object,만들고 고치기,레벨2,B1
produce,만들고 고치기,레벨1,A2
remove,만들고 고치기,레벨2,B1
repair,만들고 고치기,레벨1,A2
replace,만들고 고치기,레벨1,A2
ruin,만들고 고치기,레벨1,A2
sew,만들고 고치기,레벨1,A2
smash,만들고 고치기,레벨2,B2
snap,만들고 고치기,레벨2,B2
spoil,만들고 고치기,레벨2,B1
stick,만들고 고치기,레벨2,B1
accept,주고받기,레벨1,A2
allow,주고받기,레벨1,A2
contribute,주고받기,레벨2,B1
deliver,주고받기,레벨2,B1
deserve,주고받기,레벨2,B1
donate,주고받기,레벨2,B2
exchange,주고받기,레벨1,A2
gift,주고받기,레벨1,A1
lend,주고받기,레벨1,A2
offer,주고받기,레벨1,A2
provide,주고받기,레벨1,A2
receive,주고받기,레벨1,A2
refuse,주고받기,레벨2,B1
reserve,주고받기,레벨2,B1
share,주고받기,레벨1,A1
transfer,주고받기,레벨2,B1
belong,갖고 지니기,레벨1,A2
contain,갖고 지니기,레벨2,B1
gain,갖고 지니기,레벨2,B1
include,갖고 지니기,레벨1,A2
lose,갖고 지니기,레벨1,A2
maintain,갖고 지니기,레벨2,B1
own,갖고 지니기,레벨1,A1
possess,갖고 지니기,레벨2,B1
advance,가고 오기,레벨2,B1
appear,가고 오기,레벨1,A2
approach,가고 오기,레벨2,B1
follow,가고 오기,레벨1,A2
leave,가고 오기,레벨1,A1
proceed,가고 오기,레벨2,B1
progress,가고 오기,레벨2,B1
reach,가고 오기,레벨1,A2
retire,가고 오기,레벨1,A2
aim,고르고 정하기,레벨2,B1
appoint,고르고 정하기,레벨2,B1
assign,고르고 정하기,레벨2,B1
choice,고르고 정하기,레벨1,A2
order,고르고 정하기,레벨1,A1
prefer,고르고 정하기,레벨1,A2
prepare,고르고 정하기,레벨1,A2
schedule,고르고 정하기,레벨1,A2
select,고르고 정하기,레벨2,B1
settle,고르고 정하기,레벨2,B1
target,고르고 정하기,레벨1,A2
identity,찾고 얻기,레벨2,B1
locate,찾고 얻기,레벨2,B1
resource,찾고 얻기,레벨2,B1
search,찾고 얻기,레벨1,A2
seek,찾고 얻기,레벨1,A2
source,찾고 얻기,레벨1,A2
trace,찾고 얻기,레벨2,B1
aid,돕고 섬기기,레벨2,B1
assist,돕고 섬기기,레벨2,B1
bless,돕고 섬기기,레벨2,B1
cure,돕고 섬기기,레벨2,B1
favor,돕고 섬기기,레벨2,미수록|로부장수기
forgive,돕고 섬기기,레벨2,B1
lead,돕고 섬기기,레벨1,A2
recover,돕고 섬기기,레벨2,B1
serve,돕고 섬기기,레벨1,A2
support,돕고 섬기기,레벨1,A2
treat,돕고 섬기기,레벨2,B1
apply,하고 다루기,레벨1,A2
attempt,하고 다루기,레벨1,A2
challenge,하고 다루기,레벨1,A2
cope,하고 다루기,레벨2,B2
dare,하고 다루기,레벨2,B1
deal,하고 다루기,레벨1,A2
effort,하고 다루기,레벨1,A2
handle,하고 다루기,레벨1,A2
manage,하고 다루기,레벨1,A2
operate,하고 다루기,레벨1,A2
perform,하고 다루기,레벨1,A2
process,하고 다루기,레벨2,B1
quit,하고 다루기,레벨1,A2
react,하고 다루기,레벨2,B1
repeat,하고 다루기,레벨1,A1
risk,하고 다루기,레벨2,B1
balance,크기와 모양,레벨2,B1
blank,크기와 모양,레벨1,A1
broad,크기와 모양,레벨2,B1
empty,크기와 모양,레벨1,A2
enormous,크기와 모양,레벨1,A2
expand,크기와 모양,레벨2,B1
extend,크기와 모양,레벨2,B1
figure,크기와 모양,레벨1,A2
flat,크기와 모양,레벨1,A1
giant,크기와 모양,레벨2,B1
grand,크기와 모양,레벨2,B2
huge,크기와 모양,레벨2,B1
loose,크기와 모양,레벨1,A2
narrow,크기와 모양,레벨2,B1
neat,크기와 모양,레벨2,B2
pattern,크기와 모양,레벨2,B1
plain,크기와 모양,레벨2,B1
pure,크기와 모양,레벨2,B1
rough,크기와 모양,레벨2,B1
round,크기와 모양,레벨1,A2
scale,크기와 모양,레벨1,A2
shape,크기와 모양,레벨1,A2
sharp,크기와 모양,레벨2,B1
smooth,크기와 모양,레벨1,A2
solid,크기와 모양,레벨2,B1
super,크기와 모양,레벨1,A1
thick,크기와 모양,레벨1,A1
thin,크기와 모양,레벨1,A1
tight,크기와 모양,레벨1,A1
tiny,크기와 모양,레벨2,B1
triangle,크기와 모양,레벨2,B2
volume,크기와 모양,레벨2,B1
wide,크기와 모양,레벨1,A2
advantage,좋고 나쁨,레벨1,A2
benefit,좋고 나쁨,레벨2,B1
correct,좋고 나쁨,레벨1,A1
fair,좋고 나쁨,레벨1,A1
fault,좋고 나쁨,레벨1,A2
fortunate,좋고 나쁨,레벨2,B1
fortune,좋고 나쁨,레벨1,A2
improve,좋고 나쁨,레벨1,A2
increase,좋고 나쁨,레벨1,A2
necessary,좋고 나쁨,레벨1,A2
perfect,좋고 나쁨,레벨1,A2
proper,좋고 나쁨,레벨1,A2
quality,좋고 나쁨,레벨1,A2
reduce,좋고 나쁨,레벨2,B1
terrible,좋고 나쁨,레벨1,A1
able,쉽고 어려움,레벨2,B1
capable,쉽고 어려움,레벨2,B1
complex,쉽고 어려움,레벨2,B1
complicate,쉽고 어려움,레벨2,B1
ease,쉽고 어려움,레벨2,B2
practical,쉽고 어려움,레벨2,B1
simple,쉽고 어려움,레벨1,A2
tough,쉽고 어려움,레벨2,B2
adapt,같고 다름,레벨2,B1
adopt,같고 다름,레벨2,B1
alter,같고 다름,레벨2,B2
category,같고 다름,레벨2,B1
compare,같고 다름,레벨1,A2
definite,같고 다름,레벨2,B1
equal,같고 다름,레벨2,B1
familiar,같고 다름,레벨1,A2
match,같고 다름,레벨1,A1
odd,같고 다름,레벨2,B2
pair,같고 다름,레벨1,A1
real,같고 다름,레벨1,A1
regular,같고 다름,레벨1,A2
separate,같고 다름,레벨1,A2
shift,같고 다름,레벨2,B1
similar,같고 다름,레벨1,A2
single,같고 다름,레벨1,A2
sort,같고 다름,레벨2,B1
specific,같고 다름,레벨1,A2
stable,같고 다름,레벨2,B1
steady,같고 다름,레벨2,B1
unit,같고 다름,레벨1,A2
vary,같고 다름,레벨2,B1
absolute,많고 적음,레벨2,B1
amount,많고 적음,레벨2,B1
average,많고 적음,레벨1,A2
bit,많고 적음,레벨1,A2
complete,많고 적음,레벨1,A2
entire,많고 적음,레벨2,B1
extra,많고 적음,레벨1,A2
extreme,많고 적음,레벨2,B1
few,많고 적음,레벨1,A2
intense,많고 적음,레벨2,B1
limit,많고 적음,레벨2,B1
lot,많고 적음,레벨1,A1
major,많고 적음,레벨1,A2
mass,많고 적음,레벨2,B1
maximum,많고 적음,레벨2,B1
minor,많고 적음,레벨2,B1
none,많고 적음,레벨2,B1
piece,많고 적음,레벨1,A1
plenty,많고 적음,레벨1,A2
prime,많고 적음,레벨2,B2
quite,많고 적음,레벨1,A2
range,많고 적음,레벨1,A2
rare,많고 적음,레벨2,B1
sample,많고 적음,레벨1,A2
several,많고 적음,레벨1,A2
slight,많고 적음,레벨2,B1
spare,많고 적음,레벨2,B2
stuff,많고 적음,레벨1,A2
sum,많고 적음,레벨1,A1
total,많고 적음,레벨2,B1
annual,시간과 때,레벨2,B1
calendar,시간과 때,레벨1,A2
century,시간과 때,레벨1,A2
constant,시간과 때,레벨2,B2
continue,시간과 때,레벨1,A2
delay,시간과 때,레벨1,A2
due,시간과 때,레벨1,A1
event,시간과 때,레벨1,A1
forever,시간과 때,레벨1,A2
immediate,시간과 때,레벨2,B1
instant,시간과 때,레벨1,A2
minute,시간과 때,레벨1,A1
nowadays,시간과 때,레벨1,A2
occasion,시간과 때,레벨2,B1
once,시간과 때,레벨1,A1
past,시간과 때,레벨1,A1
pause,시간과 때,레벨2,B1
period,시간과 때,레벨1,A1
previous,시간과 때,레벨2,B1
rapid,시간과 때,레벨2,B1
recent,시간과 때,레벨1,A2
remain,시간과 때,레벨1,A2
soon,시간과 때,레벨1,A1
still,시간과 때,레벨1,A1
sudden,시간과 때,레벨1,A2
term,시간과 때,레벨2,B1
yet,시간과 때,레벨1,A1
billion,수와 셈,레벨2,B2
calculate,수와 셈,레벨2,B1
count,수와 셈,레벨1,A2
degree,수와 셈,레벨1,A2
dozen,수와 셈,레벨2,B1
half,수와 셈,레벨1,A1
level,수와 셈,레벨1,A2
per,수와 셈,레벨2,B1
quarter,수와 셈,레벨1,A1
rate,수와 셈,레벨1,A2
series,수와 셈,레벨2,B1
thousand,수와 셈,레벨1,A2
weigh,수와 셈,레벨1,A2
zero,수와 셈,레벨1,미수록|로부장수기
although,자리와 방향,레벨1,A2
among,자리와 방향,레벨1,A2
apart,자리와 방향,레벨1,A2
aside,자리와 방향,레벨2,B1
beneath,자리와 방향,레벨2,B1
beyond,자리와 방향,레벨1,A2
distance,자리와 방향,레벨2,B1
forth,자리와 방향,레벨2,B1
forward,자리와 방향,레벨1,A2
internal,자리와 방향,레벨2,B1
local,자리와 방향,레벨1,A2
since,자리와 방향,레벨1,A2
straight,자리와 방향,레벨1,A1
surround,자리와 방향,레벨2,B1
through,자리와 방향,레벨1,A1
till,자리와 방향,레벨1,A2
toward,자리와 방향,레벨1,미수록|로부장수기
unless,자리와 방향,레벨2,B1
until,자리와 방향,레벨1,A1
upon,자리와 방향,레벨1,A2
upper,자리와 방향,레벨2,B1
whether,자리와 방향,레벨2,B1
while,자리와 방향,레벨1,A2
within,자리와 방향,레벨1,A2
without,자리와 방향,레벨1,A2
alive,몸과 마음의 상태,레벨1,A2
asleep,몸과 마음의 상태,레벨1,A2
awake,몸과 마음의 상태,레벨1,A1
aware,몸과 마음의 상태,레벨2,B1
drug,몸과 마음의 상태,레벨1,A2
emotion,몸과 마음의 상태,레벨2,B1
exhaust,몸과 마음의 상태,레벨2,B2
exist,몸과 마음의 상태,레벨1,A2
faint,몸과 마음의 상태,레벨2,B1
fever,몸과 마음의 상태,레벨1,A1
