원본대표파일,세트,프롬프트번호,버전수,선택한BestTake,배정챕터,새파일명,상태
008_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,008,3,008_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_09.mp4,옮김완료
009_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,009,3,009_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_10.mp4,옮김완료
010_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,010,3,010_Progressive-detailed-fine-pencil-construction-tran.mp4,ch9,ch9_11.mp4,옮김완료
001_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,001,1,001_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_11.mp4,옮김완료
002_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,002,1,002_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_12.mp4,옮김완료
003_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,003,1,003_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_13.mp4,옮김완료
004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,004,1,004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_14.mp4,옮김완료
005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,005,1,005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_15.mp4,옮김완료
006_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,006,1,006_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_16.mp4,옮김완료
007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,007,1,007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_17.mp4,옮김완료
008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,5차완성본_Set06_정원원예,008,1,008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch3,ch3_18.mp4,옮김완료
