no,en,pos,CEFR,NGSL순위,분류,출처태그,kr,수능태그,중국어,일본어
204,suppose,verb,B1,610,내용어,[CEFR-J B1][NGSL 610],,,,
205,apply,verb,A2,611,내용어,[CEFR-J A2][NGSL 611],,,,
206,president,noun,B1,612,내용어,[CEFR-J B1][NGSL 612],,,,
207,compare,verb,A2,614,내용어,[CEFR-J A2][NGSL 614],,,,
208,court,noun,A2,615,내용어,[CEFR-J A2][NGSL 615],,,,
209,police,noun,A2,616,내용어,[CEFR-J A2][NGSL 616],,,,
210,knowledge,noun,A2,619,내용어,[CEFR-J A2][NGSL 619],,,,
211,source,noun,A2,623,내용어,[CEFR-J A2][NGSL 623],,,,
212,manage,verb,A2,625,내용어,[CEFR-J A2][NGSL 625],,,,
213,simply,adverb,A2,626,기능어,[CEFR-J A2][NGSL 626],,,,
214,firm,adjective,B1,628,내용어,[CEFR-J B1][NGSL 628],,,,
215,cell,noun,B1,629,내용어,[CEFR-J B1][NGSL 629],,,,
216,attack,noun,A2,632,내용어,[CEFR-J A2][NGSL 632],,,,
217,feature,noun,A2,635,내용어,[CEFR-J A2][NGSL 635],,,,
218,recently,adverb,A2,638,기능어,[CEFR-J A2][NGSL 638],,,,
219,affect,verb,B1,639,내용어,[CEFR-J B1][NGSL 639],,,,
220,recent,adjective,A2,641,내용어,[CEFR-J A2][NGSL 641],,,,
221,relate,verb,B1,642,내용어,[CEFR-J B1][NGSL 642],,,,
222,official,adjective,A2,643,내용어,[CEFR-J A2][NGSL 643],,,,
223,financial,adjective,B1,644,내용어,[CEFR-J B1][NGSL 644],,,,
224,private,adjective,A2,648,내용어,[CEFR-J A2][NGSL 648],,,,
225,pause,noun,B1,649,내용어,[CEFR-J B1][NGSL 649],,,,
226,opinion,noun,A2,656,내용어,[CEFR-J A2][NGSL 656],,,,
227,represent,verb,A2,658,내용어,[CEFR-J A2][NGSL 658],,,,
228,manager,noun,A2,661,내용어,[CEFR-J A2][NGSL 661],,,,
229,international,adjective,A2,662,내용어,[CEFR-J A2][NGSL 662],,,,
230,contain,verb,B1,663,내용어,[CEFR-J B1][NGSL 663],,,,
231,notice,noun,A2,664,내용어,[CEFR-J A2][NGSL 664],,,,
232,wonder,verb,A2,665,내용어,[CEFR-J A2][NGSL 665],,,,
233,nature,noun,A2,666,내용어,[CEFR-J A2][NGSL 666],,,,
234,structure,noun,A2,667,내용어,[CEFR-J A2][NGSL 667],,,,
235,myself,pronoun,A2,669,기능어,[CEFR-J A2][NGSL 669],,,,
236,exactly,adverb,A2,670,기능어,[CEFR-J A2][NGSL 670],,,,
237,plant,noun,A2,671,내용어,[CEFR-J A2][NGSL 671],,,,
238,press,noun,B1,674,내용어,[CEFR-J B1][NGSL 674],,,,
239,whatever,determiner,A2,675,기능어,[CEFR-J A2][NGSL 675],,,,
240,necessary,adjective,A2,676,내용어,[CEFR-J A2][NGSL 676],,,,
241,region,noun,B1,677,내용어,[CEFR-J B1][NGSL 677],,,,
242,growth,noun,B1,678,내용어,[CEFR-J B1][NGSL 678],,,,
243,influence,noun,A2,680,내용어,[CEFR-J A2][NGSL 680],,,,
244,respect,noun,B1,681,내용어,[CEFR-J B1][NGSL 681],,,,
245,various,adjective,B1,682,내용어,[CEFR-J B1][NGSL 682],,,,
246,thus,adverb,B1,684,기능어,[CEFR-J B1][NGSL 684],,,,
247,attempt,noun,A2,686,내용어,[CEFR-J A2][NGSL 686],,,,
248,simple,adjective,A2,688,내용어,[CEFR-J A2][NGSL 688],,,,
249,medium,adjective,B1,689,내용어,[CEFR-J B1][NGSL 689],,,,
250,average,adjective,A2,690,내용어,[CEFR-J A2][NGSL 690],,,,
251,management,noun,B1,692,내용어,[CEFR-J B1][NGSL 692],,,,
252,hit,verb,A2,695,내용어,[CEFR-J A2][NGSL 695],,,,
253,establish,verb,A2,696,내용어,[CEFR-J A2][NGSL 696],,,,
254,indeed,adverb,A2,697,기능어,[CEFR-J A2][NGSL 697],,,,
255,final,adjective,A2,698,내용어,[CEFR-J A2][NGSL 698],,,,
256,economy,noun,B1,699,내용어,[CEFR-J B1][NGSL 699],,,,
257,fit,adjective,A2,700,내용어,[CEFR-J A2][NGSL 700],,,,
258,function,verb,A2,702,내용어,[CEFR-J A2][NGSL 702],,,,
259,image,noun,A2,704,내용어,[CEFR-J A2][NGSL 704],,,,
260,addition,noun,A2,707,내용어,[CEFR-J A2][NGSL 707],,,,
261,determine,verb,B1,708,내용어,[CEFR-J B1][NGSL 708],,,,
262,population,noun,A2,710,내용어,[CEFR-J A2][NGSL 710],,,,
263,fail,verb,A2,711,내용어,[CEFR-J A2][NGSL 711],,,,
264,production,noun,A2,713,내용어,[CEFR-J A2][NGSL 713],,,,
265,comment,noun,B1,716,내용어,[CEFR-J B1][NGSL 716],,,,
266,enter,verb,A2,717,내용어,[CEFR-J A2][NGSL 717],,,,
267,occur,verb,B1,718,내용어,[CEFR-J B1][NGSL 718],,,,
268,significant,adjective,A2,720,내용어,[CEFR-J A2][NGSL 720],,,,
269,drug,noun,A2,721,내용어,[CEFR-J A2][NGSL 721],,,,
270,series,noun,B1,723,내용어,[CEFR-J B1][NGSL 723],,,,
271,direct,adjective,A2,724,내용어,[CEFR-J A2][NGSL 724],,,,
272,success,noun,A2,725,내용어,[CEFR-J A2][NGSL 725],,,,
273,director,noun,A2,727,내용어,[CEFR-J A2][NGSL 727],,,,
274,clearly,adverb,A2,728,기능어,[CEFR-J A2][NGSL 728],,,,
